run_id	Step	normalized_median_absolute_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	0.05374376793148065
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	0.03901894583989649
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	0.04013750007813281
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	0.03681845723634864
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	0.03429255523208571
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	0.032951132027265226
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	0.031467878233135814
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	0.03134036059855985
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	0.028766900127512752
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	0.030769712713458845
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	0.028991781014038903
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	0.03871164948526103
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	0.05142493741561656
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	0.05242383125031254
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	0.05765615624062407
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	0.060920257064768966
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	0.06637417648014801
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	0.0769047021889689
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	0.08643401449519952
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	0.09863729048686118
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	0.1071687735179768
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	0.11113430679005401
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	0.11368033287703772
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	0.11701960235086009
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	0.11782946361042354
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	0.11941509580645564
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	0.12055255330220523
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	0.12220690330751824
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	0.1238871787569382
