run_id	Step	r2_score
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	0.05684439825590486
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	0.7085346154835135
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	0.6610989326725967
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	0.6954328334197388
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	0.7454491276553651
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	0.7791471160407297
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	0.7951315907045979
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	0.7941357475979083
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	0.8243770959586632
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	0.7679034022661766
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	0.7887215437169878
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	0.7479973121946113
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	0.6382235326592951
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	0.6066457304095509
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	0.544463411695396
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	0.4955508719184124
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	0.4179745975322646
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	0.26591246459454504
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	0.1106995753318365
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	-0.11279683327551529
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	-0.30841855051774275
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	-0.42888418239301307
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	-0.519314490233118
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	-0.6244974350682193
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	-0.6655615551054657
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	-0.7078829354664046
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	-0.753618035066274
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	-0.8168240803314093
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	-0.8741325663817532
