run_id	Step	normalized_mean_absolute_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	0.08487630903715372
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	0.05070468525368162
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	0.05430757021014602
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	0.05143460861711171
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	0.04720007174545579
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	0.04414856788413217
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	0.042491617716459144
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	0.042641968982054454
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	0.03927278395808331
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	0.04470392445494549
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	0.04156834949119912
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	0.04785957439493949
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	0.06040963985070382
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	0.06298428983523353
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	0.06843329227453995
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	0.07209092965937218
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	0.0781516066059731
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	0.088647971554968
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	0.09827025536538028
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	0.1100938288555418
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	0.11875576348650489
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	0.12324228876012602
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	0.1261861857279478
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	0.1300281279299805
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	0.13159887137151216
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	0.13309140875025002
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	0.13469986959633468
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	0.1370372116508526
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	0.13913299568238074
