run_id	Step	explained_variance
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	0.41791491930566443
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	0.8132456646888647
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	0.7956614789852636
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	0.8151912476245202
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	0.8382710358261397
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	0.8552876737225412
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	0.8663125136452241
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	0.8653257658107277
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	0.8837061845961115
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	0.8650213596691861
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	0.893001356467441
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	0.9087738800672092
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	0.8988413344294592
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	0.8900182164120405
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	0.8791258744525633
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	0.8669930949815796
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	0.8545544257876238
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	0.8276186666254152
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	0.8010048663940296
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	0.7535818497447135
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	0.6996083290954085
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	0.6567230345129716
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	0.6187652286979509
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	0.583903609965582
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	0.5721912098692812
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	0.5581001978145295
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	0.5431328886760319
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	0.5252884799954349
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	0.5093270045449149
