run_id	Step	mean_absolute_percentage_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	9.520283514333936
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	5.757698923230512
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	6.12535368773003
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	5.798180570013173
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	5.3398647459577
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	5.007512086317909
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	4.81959198123659
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	4.837567961940061
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	4.4575602199593325
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	5.024238524908978
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	4.638983494360278
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	5.369336960202813
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	6.858182455188947
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	7.139967547152176
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	7.776596460243785
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	8.190745072898284
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	8.90529879753526
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	10.133646655417127
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	11.261486562577748
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	12.619722593781843
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	13.582904390797959
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	14.059048271498881
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	14.357624040777939
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	14.778180890081128
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	14.955003193714948
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	15.11829412868658
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	15.295210414242911
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	15.55914852613534
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	15.79642136296537
