run_id	Step	r2_score
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	-0.5201637656341946
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	-0.3450713545334562
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	-0.2818007937891377
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	-0.18350150148247185
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	-0.17715887877624592
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	-0.1429437064378718
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	-0.10576179076785434
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	-0.12081055443610347
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	-0.11400811480224031
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	-0.09475330840631116
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	-0.10786142886841996
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	-0.11833653635453963
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	-0.12502696950273434
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	-0.08881873238185345
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	-0.10125354420271879
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	-0.08570847054286324
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	-0.07431681434231185
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	-0.08452614154230145
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	-0.0863799429136057
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	-0.0646590988603271
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	-0.09738251829502068
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	-0.08879062375362783
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	-0.06093200344744254
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	-0.0672717437071686
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	-0.0707664329380695
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	-0.06675899434896863
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	-0.07625571632220388
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	-0.08083378823668416
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	-0.07358165306825933
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	-0.07691929162807631
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	-0.06216721888982533
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	-0.0708984176385556
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	-0.06221914701809128
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	-0.051738600260759694
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	-0.07275126923949786
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	-0.07953260366266286
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	-0.07186398221699983
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	-0.07522884364683957
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	-0.07730542927633541
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	-0.07392026493829737
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	-0.05508568157989453
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	-0.060555323417040265
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	-0.062160351657208325
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	-0.05329788765219105
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	-0.06130284673046251
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	-0.06952644226999154
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	-0.07901873662676011
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	-0.06117299677799846
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	-0.04576798818688812
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	-0.0666388088910003
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	-0.05230619971859522
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	-0.061662058644717146
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	-0.04744783095031835
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	-0.06502834569924457
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	-0.06539530967968928
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	-0.05058775815188219
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	-0.054122326531588126
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	-0.04798393413820747
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	-0.0701845593555126
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	-0.06275502839368312
