run_id	Step	normalized_root_mean_squared_log_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	0.18903919564543728
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	0.19017596501451556
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	0.19130648636397987
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	0.1927968226803108
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	0.19333714328463392
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	0.19378978939349262
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	0.19470780499339904
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	0.19456432587463418
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	0.19466224917950267
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	0.1953493438190316
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	0.19513980101513734
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	0.1949422914013857
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	0.19485547944146178
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	0.19568721541063783
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	0.19512848375347144
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	0.19551586930223275
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	0.19629471458809808
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	0.1954309696843845
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	0.19535178455197827
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	0.19654345633544298
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	0.1951671085938457
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	0.1957503106829395
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	0.19630721996415865
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	0.1961575708825553
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	0.1957253644034195
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	0.195448598055096
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	0.19603618913944182
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	0.19517030645512692
