run_id	Step	normalized_root_mean_squared_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	0.24082781481547305
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	0.22650528302672704
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	0.22109696577615007
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	0.21241348895553674
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	0.21174320974359123
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	0.20866981083681807
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	0.20532046024312484
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	0.20663632750423608
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	0.20593028759763307
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	0.20425796921744
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	0.2055031784292299
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	0.2064539448305452
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	0.20708081665432082
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	0.2037641593771024
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	0.20487764893876165
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	0.20349094304667248
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	0.20244920532588404
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	0.20343441106978663
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	0.20357549287630414
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	0.2015906564698246
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	0.20461662826273214
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	0.20377323241606754
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	0.20126605423669167
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	0.20187866431193888
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	0.20218171180752487
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	0.2018005781293783
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	0.20270830396512718
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	0.20313510797313014
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	0.20247332661255438
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	0.20279028982457276
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	0.20142934251251035
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	0.2022183034934692
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	0.2014136284239537
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	0.20042563702905897
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	0.20242971197418008
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	0.20303843818587985
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	0.20231068629736154
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	0.2026529708971673
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	0.20283467092053362
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	0.2025333014712894
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	0.2007391990201291
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	0.20128098564583344
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	0.2014134747850588
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	0.20058931553709586
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	0.20133626634265783
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	0.2021278302808196
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	0.2030129653851817
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	0.20135284880230203
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	0.1998589861263441
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	0.20185217520003676
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	0.2005089802716939
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	0.20139346077770623
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	0.20003132765336012
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	0.20171933928988164
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	0.2017421246135763
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	0.2003436873244216
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	0.20068575846772382
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	0.2000973757966887
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	0.20219678807091918
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	0.2015015271158313
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	0.20144595627382594
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	0.20080126691591366
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	0.2025536145563971
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	0.20034547015340234
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	0.20105402977477618
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	0.200716061950193
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	0.20075022484293017
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	0.20065861681765224
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	0.20090701186677187
