run_id	Step	mean_absolute_percentage_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	1284.9292070824883
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	1460.688333102778
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	1558.16213377771
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	1688.8516842949089
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	1725.0336995172431
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	1769.1372260689866
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	1843.4312888563338
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	1824.8368991638367
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	1834.3494869476804
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	1881.6594134842221
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	1868.6761652856671
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	1846.296216425909
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	1836.377522810549
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	1905.0929017162682
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	1862.9547343919899
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	1895.3961596592076
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	1942.4943623000174
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	1897.466063397978
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	1886.3779153361531
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	1967.1634142754533
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	1867.9455062010165
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	1903.7420520361902
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	1950.9240925469571
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	1941.6810248609268
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	1917.6452203140077
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	1898.5391272113916
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	1927.905962311602
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	1875.8828562993353
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	1920.9468276160733
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	1912.3393703441575
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	1924.8417632649748
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	1936.7455972878954
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	1910.8268842600628
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	1947.4370195703116
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	1926.2741600799077
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	1914.9470872385693
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	1948.6940077041968
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	1894.9673972228488
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	1900.713664363478
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	1908.5700012494121
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	1968.935386283688
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	1976.501119534644
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	1939.6849649061521
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	1955.1204494228575
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	1953.0249337821192
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	1914.2644139080016
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	1905.865205389538
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	1946.9081473673439
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	1975.89785643681
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	1910.545602549902
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	1967.9092862474222
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	1943.540671583932
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	1994.9213929746306
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	1939.4158029175458
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	1943.7346663239477
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	1971.3559843061364
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	1951.5548519903139
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	1973.7979286069326
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	1920.319233761105
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	1941.1659566549206
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	1963.1570138954921
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	1960.8846162963978
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	1914.6108037003983
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	1978.972359093758
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	1964.2139562208026
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	1950.8630527412765
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	1948.9046272355604
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	1968.8559907942556
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	1968.6595884351705
