run_id	Step	median_absolute_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	1915.3086059570312
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	1779.3996826171874
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	1796.3334716796876
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	1586.6420532226562
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	1547.946142578125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	1474.116845703125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	1415.9446899414063
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	1422.2853881835938
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	1396.621728515625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	1346.7390869140625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	1411.983740234375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	1399.3461120605468
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	1447.44580078125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	1362.7895751953124
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	1362.5238525390625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	1386.0132202148438
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	1297.1873046875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	1393.622265625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	1365.9521484375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	1271.7590576171874
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	1396.835009765625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	1336.307861328125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	1281.9269287109375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	1304.2901123046875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	1324.4246337890625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	1316.5089599609375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	1318.0739990234374
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	1384.5859619140624
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	1348.1337158203125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	1320.751611328125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	1294.1627075195313
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	1329.506884765625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	1303.9833862304688
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	1258.1056762695312
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	1367.340478515625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	1342.895068359375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	1323.9426025390626
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	1357.001904296875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	1343.920361328125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	1356.4208862304688
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	1246.8281982421875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	1294.1379028320312
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	1293.4538330078126
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	1255.424462890625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	1290.46337890625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	1342.756298828125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	1359.5171752929687
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	1305.8496826171875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	1244.7562744140625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	1335.7407470703124
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	1268.2802490234376
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	1317.51953125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	1237.4934814453125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	1330.0301513671875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	1289.5115966796875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	1271.4204345703124
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	1277.9857421875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	1240.6720947265626
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	1332.7984741210937
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	1306.07578125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	1291.1832763671875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	1285.9292236328124
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	1341.8324340820313
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	1246.883642578125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	1293.3608642578124
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	1292.61337890625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	1284.33505859375
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	1269.8408447265624
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	1273.2441650390624
